AP_Rnk,PS_Rnk,KP_Rank,TournamentYear,TeamID,TS_Team,Auto Bid,KP_Conference,TS_GP,STA_W,STA_L,STA_Pct,STA_Conf_W,STA_Conf_L,STA_Conf_Pct,STA_Home_W,STA_Home_L,STA_Away_W,STA_Away_L,STA_Neutral_W,STA_Neutral_L,STA_Top25_W,STA_Top25_L,STA_Conf_PF,STA_Conf_PA,STA_Conf_PPG,STA_Conf_PAPG,STA_PF,STA_PA,STA_PPG,STA_PAPG,TS_FGM,TS_FGA,TS_FG%,TS_3PM,TS_3PA,TS_3P%,TS_FTM,TS_FTA,TS_FT%,KP_Ajusted Efficiency Margin,KP_Adjusted Offensive Efficiency,KP_AOE Rk,KP_Adjusted Defensive Efficiency,KP_ADE Rk,KP_Adjusted Tempo,KP_AT Rk,KP_Luck,KP_Luck Rk,KP_Strength of Schedule,KP_SOS Rk,KP_Non-Conference Strength of Schedule,KP_NCSOS Rk,KP_Average Opponents Offensive Efficiency,KP_AOOE Rk,KP_Average Opponents Defensive Efficiency,KP_AODE Rk,Round,Round Number,Team,Seed,PF**,Opp_AP_Rnk,Opp_PS_Rnk,Opp_KP_Rank,OppTeamID,Opp_TS_Team,Opp_KP_Conference,Opp_TS_GP,Opp_STA_W,Opp_STA_L,Opp_STA_Pct,Opp_STA_Conf_W,Opp_STA_Conf_L,Opp_STA_Conf_Pct,Opp_STA_Home_W,Opp_STA_Home_L,Opp_STA_Away_W,Opp_STA_Away_L,Opp_STA_Neutral_W,Opp_STA_Neutral_L,Opp_STA_Top25_W,Opp_STA_Top25_L,Opp_STA_Conf_PF,Opp_STA_Conf_PA,Opp_STA_Conf_PPG,Opp_STA_Conf_PAPG,Opp_STA_PF,Opp_STA_PA,Opp_STA_PPG,Opp_STA_PAPG,Opp_TS_FGM,Opp_TS_FGA,Opp_TS_FG%,Opp_TS_3PM,Opp_TS_3PA,Opp_TS_3P%,Opp_TS_FTM,Opp_TS_FTA,Opp_TS_FT%,Opp_KP_Ajusted Efficiency Margin,Opp_KP_Adjusted Offensive Efficiency,Opp_KP AOW Rk,Opp_KP_Adjusted Defensive Efficiency,Opp_KP_ADE Rk,Opp_KP_Adjusted Tempo,Opp_KP_AT Rk,Opp_KP_Luck,Opp_KP_Luck_Rk,Opp_KP_Strength of Schedule,Opp_KP_SOS Rk,Opp_KP_Non-Conference Strength of Schedule,Opp_KP_NCSOS Rk,Opp_KP_Average Opponents Offensive Efficiency,Opp_KP_AOOE Rk,Opp_KP_Average Opponents Defensive Efficiency,Opp_KP_AODE Rk,OppTeam,OppSeed,GameID
,,200,2021,67,Norfolk State,1,MEAC,23.00,16.00,7.00,0.696,8.00,4.00,0.667,7.00,4.00,6.00,3.00,3.00,0.00,0.00,0.00,951.00,881.00,79.3,73.4,1730.00,1591.00,75.2,69.2,591.00,1357.00,0.436,180.00,489.00,0.368,368.00,521.00,0.706,-2.31,101.3,204,103.6,219,67.7,221,0.031,106,-8.31,334,-0.73,224,96.9,326,105.2,312,First Four,0,Norfolk State,16,54,,,209,68,Appalachian State,Sun Belt,28.00,17.00,11.00,0.607,7.00,8.00,0.467,9.00,4.00,4.00,7.00,4.00,0.00,0.00,1.00,1040.00,1029.00,69.3,68.6,1986.00,1806.00,70.9,64.5,674.00,1626.00,0.415,227.00,701.00,0.324,411.00,558.00,0.737,-2.91,100.1,227,103,205,65.7,310,0.06,52,-2.97,232,5.72,113,100.1,249,103.1,221,Appalachian State,16,1
,,209,2021,68,Appalachian State,1,Sun Belt,28.00,17.00,11.00,0.607,7.00,8.00,0.467,9.00,4.00,4.00,7.00,4.00,0.00,0.00,1.00,1040.00,1029.00,69.3,68.6,1986.00,1806.00,70.9,64.5,674.00,1626.00,0.415,227.00,701.00,0.324,411.00,558.00,0.737,-2.91,100.1,227,103,205,65.7,310,0.06,52,-2.97,232,5.72,113,100.1,249,103.1,221,First Four,0,Appalachian State,16,53,,,200,67,Norfolk State,MEAC,23.00,16.00,7.00,0.696,8.00,4.00,0.667,7.00,4.00,6.00,3.00,3.00,0.00,0.00,0.00,951.00,881.00,79.3,73.4,1730.00,1591.00,75.2,69.2,591.00,1357.00,0.436,180.00,489.00,0.368,368.00,521.00,0.706,-2.31,101.3,204,103.6,219,67.7,221,0.031,106,-8.31,334,-0.73,224,96.9,326,105.2,312,Norfolk State,16,1
,,74,2021,45,Wichita State,0,American,21.00,16.00,5.00,0.762,11.00,2.00,0.846,10.00,2.00,5.00,2.00,1.00,1.00,1.00,1.00,945.00,891.00,72.7,68.5,1520.00,1416.00,72.4,67.4,514.00,1261.00,0.408,175.00,512.00,0.342,317.00,460.00,0.689,12.98,110.7,56,97.7,103,67.6,225,0.121,10,9.09,84,12.6,34,105.4,107,96.4,48,First Four,0,Wichita State,11,52,,,53,48,Drake,Missouri Valley,29.00,25.00,4.00,0.862,15.00,3.00,0.833,14.00,1.00,9.00,2.00,2.00,1.00,1.00,2.00,1331.00,1191.00,73.9,66.2,2245.00,1875.00,77.4,64.7,868.00,1757.00,0.494,204.00,552.00,0.37,305.00,428.00,0.713,16.07,114.6,19,98.6,120,66.8,265,0.095,21,2.18,157,-9.27,310,102.9,172,100.7,138,Drake,11,2
,,53,2021,48,Drake,0,Missouri Valley,29.00,25.00,4.00,0.862,15.00,3.00,0.833,14.00,1.00,9.00,2.00,2.00,1.00,1.00,2.00,1331.00,1191.00,73.9,66.2,2245.00,1875.00,77.4,64.7,868.00,1757.00,0.494,204.00,552.00,0.37,305.00,428.00,0.713,16.07,114.6,19,98.6,120,66.8,265,0.095,21,2.18,157,-9.27,310,102.9,172,100.7,138,First Four,0,Drake,11,53,,,74,45,Wichita State,American,21.00,16.00,5.00,0.762,11.00,2.00,0.846,10.00,2.00,5.00,2.00,1.00,1.00,1.00,1.00,945.00,891.00,72.7,68.5,1520.00,1416.00,72.4,67.4,514.00,1261.00,0.408,175.00,512.00,0.342,317.00,460.00,0.689,12.98,110.7,56,97.7,103,67.6,225,0.121,10,9.09,84,12.6,34,105.4,107,96.4,48,Wichita State,11,2
,13,56,2021,43,Michigan State,0,Big Ten,27.00,15.00,12.00,0.556,9.00,11.00,0.45,12.00,3.00,3.00,8.00,0.00,1.00,5.00,6.00,1298.00,1403.00,64.9,70.2,1864.00,1905.00,69,70,668.00,1574.00,0.424,172.00,537.00,0.32,356.00,494.00,0.721,15.44,107.7,98,92.2,32,68.6,166,0.106,16,18.16,8,-0.53,220,112.5,3,94.3,15,First Four,0,Michigan State,11,80,,22,44,44,UCLA,Pac-12,26.00,17.00,9.00,0.654,13.00,6.00,0.684,11.00,1.00,5.00,5.00,1.00,2.00,0.00,1.00,1350.00,1282.00,71.1,67.5,1894.00,1781.00,72.8,68.5,686.00,1485.00,0.462,173.00,471.00,0.367,349.00,484.00,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,UCLA,11,3
,22,44,2021,44,UCLA,0,Pac-12,26.00,17.00,9.00,0.654,13.00,6.00,0.684,11.00,1.00,5.00,5.00,1.00,2.00,0.00,1.00,1350.00,1282.00,71.1,67.5,1894.00,1781.00,72.8,68.5,686.00,1485.00,0.462,173.00,471.00,0.367,349.00,484.00,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,First Four,0,UCLA,11,86,,13,56,43,Michigan State,Big Ten,27.00,15.00,12.00,0.556,9.00,11.00,0.45,12.00,3.00,3.00,8.00,0.00,1.00,5.00,6.00,1298.00,1403.00,64.9,70.2,1864.00,1905.00,69,70,668.00,1574.00,0.424,172.00,537.00,0.32,356.00,494.00,0.721,15.44,107.7,98,92.2,32,68.6,166,0.106,16,18.16,8,-0.53,220,112.5,3,94.3,15,Michigan State,11,3
,,219,2021,65,Mount St. Mary's,1,NEC,22.00,12.00,10.00,0.545,9.00,7.00,0.563,6.00,3.00,6.00,6.00,0.00,1.00,0.00,0.00,1031.00,976.00,64.4,61,1402.00,1371.00,63.7,62.3,508.00,1192.00,0.426,146.00,433.00,0.337,240.00,354.00,0.678,-3.58,96.1,287,99.7,136,62.2,356,0.006,157,-6.06,303,11.52,44,99.4,274,105.5,321,First Four,0,Mount St. Mary's,16,52,,,229,66,Texas Southern,SWAC,24.00,16.00,8.00,0.667,10.00,3.00,0.769,8.00,2.00,5.00,6.00,3.00,0.00,0.00,0.00,976.00,876.00,75.1,67.4,1795.00,1672.00,74.8,69.7,650.00,1443.00,0.45,110.00,398.00,0.276,385.00,551.00,0.699,-4.63,99.7,236,104.3,236,72,41,0.055,61,-10.23,341,13.39,30,94,341,104.2,267,Texas Southern,16,4
,,229,2021,66,Texas Southern,1,SWAC,24.00,16.00,8.00,0.667,10.00,3.00,0.769,8.00,2.00,5.00,6.00,3.00,0.00,0.00,0.00,976.00,876.00,75.1,67.4,1795.00,1672.00,74.8,69.7,650.00,1443.00,0.45,110.00,398.00,0.276,385.00,551.00,0.699,-4.63,99.7,236,104.3,236,72,41,0.055,61,-10.23,341,13.39,30,94,341,104.2,267,First Four,0,Texas Southern,16,60,,,219,65,Mount St. Mary's,NEC,22.00,12.00,10.00,0.545,9.00,7.00,0.563,6.00,3.00,6.00,6.00,0.00,1.00,0.00,0.00,1031.00,976.00,64.4,61,1402.00,1371.00,63.7,62.3,508.00,1192.00,0.426,146.00,433.00,0.337,240.00,354.00,0.678,-3.58,96.1,287,99.7,136,62.2,356,0.006,157,-6.06,303,11.52,44,99.4,274,105.5,321,Mount St. Mary's,16,4
1,1,1,2021,1,Gonzaga,1,WCC,26.00,26.00,0.00,1,15.00,0.00,1,12.00,0.00,7.00,0.00,7.00,0.00,4.00,0.00,1363.00,1002.00,90.9,66.8,2395.00,1797.00,92.1,69.1,888.00,1612.00,0.551,190.00,520.00,0.365,429.00,590.00,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,First Round,1,Gonzaga,1,98,,,200,67,Norfolk State,MEAC,23.00,16.00,7.00,0.696,8.00,4.00,0.667,7.00,4.00,6.00,3.00,3.00,0.00,0.00,0.00,951.00,881.00,79.3,73.4,1730.00,1591.00,75.2,69.2,591.00,1357.00,0.436,180.00,489.00,0.368,368.00,521.00,0.706,-2.31,101.3,204,103.6,219,67.7,221,0.031,106,-8.31,334,-0.73,224,96.9,326,105.2,312,Norfolk State,16,5
,,200,2021,67,Norfolk State,1,MEAC,23.00,16.00,7.00,0.696,8.00,4.00,0.667,7.00,4.00,6.00,3.00,3.00,0.00,0.00,0.00,951.00,881.00,79.3,73.4,1730.00,1591.00,75.2,69.2,591.00,1357.00,0.436,180.00,489.00,0.368,368.00,521.00,0.706,-2.31,101.3,204,103.6,219,67.7,221,0.031,106,-8.31,334,-0.73,224,96.9,326,105.2,312,First Round,1,Norfolk State,16,55,1,1,1,1,Gonzaga,WCC,26.00,26.00,0.00,1,15.00,0.00,1,12.00,0.00,7.00,0.00,7.00,0.00,4.00,0.00,1363.00,1002.00,90.9,66.8,2395.00,1797.00,92.1,69.1,888.00,1612.00,0.551,190.00,520.00,0.365,429.00,590.00,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,Gonzaga,1,5
